tns_name,repeater_name,ra,dec,gl,gb,exp_up,exp_low,bonsai_snr,bonsai_dm,snr_fitb,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,is_repeater,is_pcc_candidate,catalog
FRB20181027A,-9999,131.9,-4.24,231.12,23.4,11.6,-9999.0,15.9,726.3,22.3,727.744,663.7,670.0,0.0059,0.00472,4.9,22.0,0,0.00072,-0.4,6.1,800.2,530.0,800.2,406922.127,405833,0.565,0,0,2021
FRB20181028A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,11.7,181.2,98.4,189.1063,101.3,80.7,0.03342,0.0019,1.31,22.6,0,0.00607,79.9,-212.0,536.2,435.3,483.2,1047850.43,1039654,0.443,1,0,2021
FRB20181028A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,11.7,181.2,98.4,189.1063,101.3,80.7,0.03342,0.0019,1.31,22.6,1,0.001749,81.2,-220.0,533.1,434.5,481.3,1047850.43,1039654,0.443,1,0,2021
FRB20181028A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,11.7,181.2,98.4,189.1063,101.3,80.7,0.03342,0.0019,1.31,22.6,2,0.002178,81.8,-257.0,515.9,426.9,469.3,1047850.43,1039654,0.443,1,0,2021
FRB20181028A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,11.7,181.2,98.4,189.1063,101.3,80.7,0.03342,0.0019,1.31,22.6,3,0.00271,66.3,-278.0,493.8,411.7,450.9,1047850.43,1039654,0.443,1,0,2021
FRB20181028A,FRB20180814A,65.54,73.63,136.46,16.58,41.0,43.5,11.7,181.2,98.4,189.1063,101.3,80.7,0.03342,0.0019,1.31,22.6,4,0.00208,58.0,-388.0,465.5,400.2,431.0,1047850.43,1039654,0.443,1,0,2021
FRB20181030C,-9999,309.83,3.99,49.72,-21.77,11.4,-9999.0,11.7,668.0,17.0,668.7601,595.7,610.0,0.00098,0.00074,1.6,5.5,0,0.00061,10.0,-22.2,691.2,400.2,500.9,331710.287,330745,0.469,0,0,2021
FRB20181030A,FRB20181030A,158.35,73.79,134.84,39.98,40.0,39.0,11.5,101.9,10.8,103.396,62.3,70.3,0.00197,0.00088,4.3,8.2,0,0.000695,3.5,-3.1,800.2,400.2,703.7,316487.867,314938,0.494,1,0,2021
FRB20181030B,FRB20181030A,158.35,73.79,134.84,39.98,40.0,39.0,10.2,101.9,32.9,103.6425,62.5,70.5,0.00295,0.0014,2.3,6.9,0,0.001255,22.9,-43.2,656.8,414.0,521.4,320534.22,317978,0.489,1,0,2021
FRB20181030D,-9999,81.79,16.07,188.68,-10.44,13.8,-9999.0,21.5,289.5,29.2,289.4422,165.9,103.1,0.00295,0.00087,2.74,5.9,0,0.000362,1.51,-3.0,800.2,400.2,514.8,342675.375,342297,0.45,0,0,2021
